Level	sediment	replicate	season	sample
1	sand	A	summer	13
1	sand	B	summer	2
1	sand	C	summer	17
1	sand	D	summer	45
2	sand	C	summer	16
2	sand	D	summer	43
3	sand	A	summer	42
3	sand	B	summer	8
3	sand	C	summer	4
4	sand	A	summer	
4	sand	B	summer	22
4	sand	C	summer	35
4	sand	D	summer	31
1	silt	A	summer	3
1	silt	B	summer	28
1	silt	C	summer	12
1	silt	D	summer	14
2	silt	A	summer	40
2	silt	C	summer	18
3	silt	A	summer	33
3	silt	B	summer	29
3	silt	C	summer	6
4	silt	A	summer	9
4	silt	B	summer	23
4	silt	C	summer	44
4	silt	D	summer	10
1	cyano	A	summer	36
1	cyano	B	summer	26
1	cyano	C	summer	15
1	cyano	D	summer	11
2	cyano	B	summer	25
2	cyano	D	summer	46
3	cyano	A	summer	
3	cyano	D	summer	7
4	cyano	A	summer	
4	cyano	B	summer	20
4	cyano	C	summer	21
4	cyano	D	summer	
1	ruppia	A	summer	34
1	ruppia	B	summer	1
1	ruppia	C	summer	41
1	ruppia	D	summer	37
2	ruppia	A	summer	39
2	ruppia	B	summer	27
3	ruppia	B	summer	30
3	ruppia	C	summer	5
3	ruppia	D	summer	32
4	ruppia	A	summer	
4	ruppia	B	summer	24
4	ruppia	C	summer	38
4	ruppia	D	summer	19
1	sand	A	autumn	94
1	sand	B	autumn	93
1	sand	C	autumn	75
1	sand	D	autumn	78
2	sand	C	autumn	63
2	sand	D	autumn	61
3	sand	A	autumn	90
3	sand	B	autumn	92
3	sand	C	autumn	84
4	sand	A	autumn	56
4	sand	B	autumn	54
4	sand	C	autumn	67
4	sand	D	autumn	65
1	silt	A	autumn	98
1	silt	B	autumn	97
1	silt	C	autumn	80
1	silt	D	autumn	83
2	silt	A	autumn	70
2	silt	C	autumn	69
3	silt	A	autumn	95
3	silt	B	autumn	96
3	silt	C	autumn	79
3	silt	D	autumn	82
4	silt	A	autumn	59
4	silt	B	autumn	57
4	silt	C	autumn	55
4	silt	D	autumn	53
1	cyano	A	autumn	89
1	cyano	B	autumn	91
1	cyano	C	autumn	73
1	cyano	D	autumn	76
2	cyano	B	autumn	60
2	cyano	D	autumn	58
3	cyano	A	autumn	86
3	cyano	D	autumn	88
4	cyano	A	autumn	68
4	cyano	B	autumn	66
4	cyano	C	autumn	64
4	cyano	D	autumn	62
1	ruppia	A	autumn	85
1	ruppia	B	autumn	87
1	ruppia	C	autumn	72
1	ruppia	D	autumn	71
2	ruppia	A	autumn	50
2	ruppia	B	autumn	51
3	ruppia	B	autumn	81
3	ruppia	C	autumn	74
3	ruppia	D	autumn	77
4	ruppia	A	autumn	47
4	ruppia	B	autumn	48
4	ruppia	C	autumn	49
4	ruppia	D	autumn	52
1	sand	A	spring	148
1	sand	B	spring	131
1	sand	C	spring	141
1	sand	D	spring	146
2	sand	C	spring	114
2	sand	D	spring	122
3	sand	A	spring	119
3	sand	B	spring	128
3	sand	C	spring	142
4	sand	A	spring	102
4	sand	B	spring	109
4	sand	C	spring	115
4	sand	D	spring	138
1	silt	A	spring	132
1	silt	B	spring	107
1	silt	C	spring	124
1	silt	D	spring	125
2	silt	A	spring	149
2	silt	C	spring	
3	silt	A	spring	117
3	silt	B	spring	126
3	silt	C	spring	150
3	silt	D	spring	135
4	silt	A	spring	103
4	silt	B	spring	108
4	silt	C	spring	113
4	silt	D	spring	140
1	cyano	A	spring	118
1	cyano	B	spring	106
1	cyano	C	spring	
1	cyano	D	spring	143
2	cyano	B	spring	129
2	cyano	D	spring	123
3	cyano	A	spring	121
3	cyano	D	spring	136
4	cyano	A	spring	105
4	cyano	B	spring	111
4	cyano	C	spring	112
4	cyano	D	spring	137
1	ruppia	A	spring	120
1	ruppia	B	spring	144
1	ruppia	C	spring	101
1	ruppia	D	spring	134
2	ruppia	A	spring	145
2	ruppia	B	spring	130
3	ruppia	B	spring	127
3	ruppia	C	spring	147
3	ruppia	D	spring	133
4	ruppia	A	spring	104
4	ruppia	B	spring	110
4	ruppia	C	spring	116
4	ruppia	D	spring	139
